,Latitude,Longitude,Altitude,Image Names
100,36.901865799999996,38.9231523,467.779,D:\3_Sinif\Staj\ceylanpinar\IMG_0500_3.tif
101,36.9018654,38.923149599999995,462.549,D:\3_Sinif\Staj\ceylanpinar\IMG_0501_3.tif
102,36.9018656,38.9231416,457.525,D:\3_Sinif\Staj\ceylanpinar\IMG_0502_3.tif
103,36.9018611,38.9231433,452.04,D:\3_Sinif\Staj\ceylanpinar\IMG_0503_3.tif
104,36.9018625,38.9231536,446.295,D:\3_Sinif\Staj\ceylanpinar\IMG_0504_3.tif
105,36.9018635,38.923156899999995,439.424,D:\3_Sinif\Staj\ceylanpinar\IMG_0505_3.tif
106,36.9018626,38.9231583,433.577,D:\3_Sinif\Staj\ceylanpinar\IMG_0506_3.tif
107,36.9018666,38.923147799999995,427.948,D:\3_Sinif\Staj\ceylanpinar\IMG_0507_3.tif
108,36.9018625,38.9231524,421.2,D:\3_Sinif\Staj\ceylanpinar\IMG_0508_3.tif
109,36.9018625,38.9231562,414.029,D:\3_Sinif\Staj\ceylanpinar\IMG_0509_3.tif
110,36.9018632,38.9231468,408.603,D:\3_Sinif\Staj\ceylanpinar\IMG_0510_3.tif
111,36.9018655,38.9231479,407.359,D:\3_Sinif\Staj\ceylanpinar\IMG_0511_3.tif
112,36.9018643,38.9231546,408.098,D:\3_Sinif\Staj\ceylanpinar\IMG_0512_3.tif
113,36.901860899999996,38.923154,408.848,D:\3_Sinif\Staj\ceylanpinar\IMG_0513_3.tif
114,36.9018556,38.9231476,409.192,D:\3_Sinif\Staj\ceylanpinar\IMG_0514_3.tif
115,36.9018516,38.9231434,409.216,D:\3_Sinif\Staj\ceylanpinar\IMG_0515_3.tif
116,36.9018219,38.9231566,409.112,D:\3_Sinif\Staj\ceylanpinar\IMG_0516_3.tif
117,36.9017848,38.9231444,408.877,D:\3_Sinif\Staj\ceylanpinar\IMG_0517_3.tif
118,36.9017577,38.923111299999995,409.04,D:\3_Sinif\Staj\ceylanpinar\IMG_0518_3.tif
119,36.9017323,38.9230769,409.241,D:\3_Sinif\Staj\ceylanpinar\IMG_0519_3.tif
120,36.9017073,38.923030999999995,409.283,D:\3_Sinif\Staj\ceylanpinar\IMG_0520_3.tif
121,36.9016908,38.9229938,409.303,D:\3_Sinif\Staj\ceylanpinar\IMG_0521_3.tif
122,36.901692499999996,38.922997099999996,408.721,D:\3_Sinif\Staj\ceylanpinar\IMG_0522_3.tif
123,36.9016899,38.9229959,407.551,D:\3_Sinif\Staj\ceylanpinar\IMG_0523_3.tif
124,36.9016879,38.9229886,405.754,D:\3_Sinif\Staj\ceylanpinar\IMG_0524_3.tif
125,36.901689,38.922999999999995,403.663,D:\3_Sinif\Staj\ceylanpinar\IMG_0525_3.tif
126,36.9016908,38.9230047,400.853,D:\3_Sinif\Staj\ceylanpinar\IMG_0526_3.tif
